unique_student_id,schlyear,exgrade,exam_name
2445,2014,93,English exam
2445,2014,93,Math exam
3221,2015,99,English exam
3221,2015,96,Math exam
3398,2015,85,English exam
3398,2015,64,Math exam
3398,2015,83,Math exam
916,2014,74,Math exam
916,2015,82,English exam
1336,2016,60,English exam
1336,2016,61,English exam
2786,2015,79,English exam
1650,2015,86,English exam
2917,2014,81,Math exam
2917,2015,93,English exam
2068,2014,68,Math exam
2068,2015,99,English exam
1037,2014,96,English exam
1037,2015,95,Math exam
346,2015,85,English exam
346,2015,41,Math exam
2089,2014,64,Math exam
2089,2015,85,English exam
2089,2015,68,Math exam
2842,2016,88,English exam
848,2015,72,English exam
848,2015,38,Math exam
3,2015,82,English exam
3,2015,82,English exam
335,2014,72,English exam
335,2014,87,Math exam
335,2015,85,English exam
722,2015,86,English exam
722,2015,83,Math exam
3706,2015,76,English exam
3818,2015,90,English exam
3818,2015,46,Math exam
3755,2014,88,English exam
3755,2015,86,Math exam
234,2014,67,Math exam
234,2015,86,English exam
2036,2015,98,English exam
2036,2015,33,Math exam
355,2014,85,English exam
355,2014,93,English exam
355,2015,63,Math exam
355,2016,51,Math exam
3956,2016,88,English exam
1485,2015,85,English exam
1485,2015,70,Math exam
1899,2014,77,English exam
1899,2014,24,Math exam
3032,2014,86,English exam
3032,2015,76,English exam
3032,2015,54,Math exam
3032,2015,59,Math exam
3032,2016,74,Math exam
1253,2015,89,English exam
1253,2015,68,Math exam
1248,2014,79,English exam
1248,2015,79,English exam
1248,2015,67,Math exam
3277,2014,87,English exam
3277,2014,71,English exam
3277,2015,46,Math exam
3277,2016,56,Math exam
1867,2015,65,English exam
1867,2016,85,English exam
1,2015,79,English exam
1167,2015,79,English exam
1167,2015,66,English exam
563,2016,87,English exam
1597,2015,83,English exam
1597,2015,74,English exam
1597,2015,69,Math exam
1486,2015,95,English exam
583,2014,97,English exam
583,2014,95,English exam
583,2015,90,Math exam
3314,2015,72,English exam
1812,2014,92,English exam
671,2014,87,English exam
671,2014,86,English exam
3684,2014,81,English exam
3684,2015,93,English exam
3684,2015,49,Math exam
2277,2015,86,English exam
2882,2015,85,English exam
1749,2016,83,English exam
1749,2016,71,English exam
1158,2014,63,Math exam
1158,2015,92,English exam
1158,2015,65,Math exam
3634,2014,83,English exam
3634,2014,77,English exam
2829,2014,88,English exam
2829,2014,65,Math exam
2919,2014,88,English exam
2919,2014,62,Math exam
2919,2014,60,Math exam
2919,2015,81,Math exam
3303,2013,85,English exam
3303,2013,81,English exam
3303,2013,54,Math exam
3303,2014,68,Math exam
3303,2014,57,Math exam
2663,2015,89,English exam
